구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,경영,1303,DU실용영어(1),2,2-0-0,머레이 존 슨,수(12:00-13:50),경영1관-12,글로벌의사 소통,
,,경영,1304,DU실용영어(1),2,2-0-0,잭슨 윌리 엄 매튜 로,수(12:00-13:50),경영1관-13,글로벌의사 소통,
,,경영,1305,DU실용영어(1),2,2-0-0,뉴옌챈트 루,수(12:00-13:50),경영1관-13,글로벌의사 소통,
,,경영,1306,DU실용영어(1),2,2-0-0,크롤리 제 니퍼 루이,월(12:00-13:50),경영1관-12,글로벌의사 소통,
,,경영,1307,DU실용영어(1),2,2-0-0,헥트 크리 스탈 리,월(12:00-13:50),경영1관-12,글로벌의사 소통,
,,경영,1308,DU실용영어(1),2,2-0-0,도란 코너 마이클,월(12:00-13:50),경영1관-13,글로벌의사 소통,
,,경영,1309,DU실용영어(1),2,2-0-0,트레버 매 튜 심,월(12:00-13:50),경영1관-13,글로벌의사 소통,
,,경영,1310,AI시대대학생활(1),1,1-0-0,김임현,인성(필)수(17:00-17:50),경영1관-13,,
,,경영,1311,AI시대대학생활(1),1,1-0-0,정준희,인성(필)수(17:00-17:50),경영1관-13,,
,,경영,1312,AI시대대학생활(1),1,1-0-0,최정운,인성(필)수(17:00-17:50),경영1관-13,,
,,경영,1313,AI시대대학생활(1),1,1-0-0,박홍조,인성(필)수(17:00-17:50),경영1관-12,,
,,경영,1314,AI시대대학생활(1),1,1-0-0,이병산,인성(필)수(17:00-17:50),경영1관-12,,
,,경영,1315,AI시대대학생활(1),1,1-0-0,이진화,인성(필)수(11:00-11:50),경영1관-14,,
,,경영,1316,AI시대대학생활(1),1,1-0-0,,인성(필)수(11:00-11:50),경영1관-14,,박상철
,,경영,1317,AI시대대학생활(1),1,1-0-0,최진명,인성(필)수(11:00-11:50),경영1관-13,,
,,경영,1318,AI시대대학생활(1),1,1-0-0,이기은,인성(필)수(11:00-11:50),경영1관-13,,
,,경영,1319,AI시대대학생활(1),1,1-0-0,권순재,인성(필)수(11:00-11:50),경영1관-13,,
,,경영,1320,AI시대대학생활(1),1,1-0-0,배연호,인성(필)수(11:00-11:50),경영1관-14,,
,,경영,1321,AI시대대학생활(1),1,1-0-0,심종석,인성(필)수(11:00-11:50),경영1관-13,,
,,경영,1322,AI시대대학생활(1),1,1-0-0,오현석,인성(필)수(11:00-11:50),경영1관-12,,
,,경영,1323,AI시대대학생활(1),1,1-0-0,이가연,인성(필)수(11:00-11:50),경영1관-13,,
,,경영,1324,AI시대대학생활(1),1,1-0-0,정인준,인성(필)수(11:00-11:50),경영1관-14,글로벌경영대학,공통 1 경제금융통 상
,,,1325,DU실용영어(1),2,2-0-0,리차드 제 임스 갈랜,화(12:00-13:50),경영1관-12,글로벌의사 소통,경제금융통 상
,,,1326,DU실용영어(1),2,2-0-0,허퍼 덕,화(12:00-13:50),경영1관-12,글로벌의사 소통,경제금융통 상
,,,1327,AI시대대학생활(1),1,1-0-0,김양희,인성(필)수(11:00-11:50),경영1관-12,,경제금융통 상
,,,1328,AI시대대학생활(1),1,1-0-0,박승준,인성(필)수(11:00-11:50),경영1관-13,,경제금융통 상
,,,1329,AI시대대학생활(1),1,1-0-0,이윤호,인성(필)수(11:00-11:50),경영1관-13,,경제금융통 상
,,,1330,AI시대대학생활(1),1,1-0-0,전승훈,인성(필)수(11:00-11:50),경영1관-13,,경제금융통 상
,,,1331,AI시대대학생활(1),1,1-0-0,황진태,인성(필)수(11:00-11:50),경영1관-14,,
,,호텔관광,1332,DU실용영어(1),2,2-0-0,리차드 제 임스 갈랜,목(12:00-13:50),경영1관-12,글로벌의사 소통,
,,호텔관광,1333,DU실용영어(1),2,2-0-0,잭슨 윌리 엄 매튜 로,목(12:00-13:50),경영1관-12,글로벌의사 소통,
,,호텔관광,1334,DU실용영어(1),2,2-0-0,정 앤디 에 이치 티,목(12:00-13:50),경영1관-13,글로벌의사 소통,
,,호텔관광,1335,DU실용영어(1),2,2-0-0,앤드류 캔 디,목(12:00-13:50),경영1관-13,글로벌의사 소통,
,,호텔관광,1336,AI시대대학생활(1),1,1-0-0,김병국,인성(필)월(11:00-11:50),경영1관-13,,
,,호텔관광,1337,AI시대대학생활(1),1,1-0-0,송자현,인성(필)월(11:00-11:50),경영1관-13,,
,,호텔관광,1338,AI시대대학생활(1),1,1-0-0,김현정,인성(필)월(11:00-11:50),경영1관-13,,
,,호텔관광,1339,AI시대대학생활(1),1,1-0-0,노정희,인성(필)월(17:00-17:50),경영1관-13,,
,,호텔관광,1340,AI시대대학생활(1),1,1-0-0,이광우,인성(필)월(17:00-17:50),경영1관-13,,
,,호텔관광,1341,AI시대대학생활(1),1,1-0-0,이응진,인성(필)월(17:00-17:50),경영1관-13,글로벌경영,대학
,,,1342,DU사랑빛자유프로,,,젝트 2 2-0-0 박붕익,인성월(10:00-11:50),경영1관-12,글로벌경영,대학
,,,1343,DU사랑빛자유프로,,,젝트 2 2-0-0 박지은,인성화(10:00-11:50),경영1관-12,글로벌경영,대학
,,,1344,DU사랑빛자유프로,,,젝트 2 2-0-0 이용승,인성수(15:00-16:50),경영1관-12,글로벌경영,대학
,,,1345,DU사랑빛자유프로,,,젝트 2 2-0-0 김민희,인성목(11:00-12:50),경영1관-12,글로벌경영,대학
,,,1346,DU사랑빛자유프로,,,젝트 2 2-0-0 김민희,인성목(13:00-14:50),경영1관-12,글로벌경영,대학
,,,1347,DU사랑빛자유프로,,,젝트 2 2-0-0 박규준,인성월(14:00-15:50),경영1관-12,글로벌경영,대학
